time,supply_temp,Speed,occupancy
14.11.2020 15:20:27,24,94,2
14.11.2020 15:20:28,23.9,97,2
14.11.2020 15:20:29,24,103,2
14.11.2020 15:20:30,24,119,2
14.11.2020 15:20:31,24.1,124,2
14.11.2020 15:20:32,24.2,130,2
14.11.2020 15:20:33,24.2,138,2
14.11.2020 15:20:34,24.2,130,2
14.11.2020 15:20:35,24.2,119,2
14.11.2020 15:20:36,24.2,119,2
14.11.2020 15:20:37,24.1,111,2
14.11.2020 15:20:38,24.1,107,2
14.11.2020 15:20:39,24.1,110,2
14.11.2020 15:20:40,24.2,108,2
14.11.2020 15:20:41,24.2,108,2
14.11.2020 15:20:42,24.2,107,2
14.11.2020 15:20:43,24.2,109,2
14.11.2020 15:20:44,24.2,119,2
14.11.2020 15:20:45,24.3,107,2
14.11.2020 15:20:46,24.3,114,2
14.11.2020 15:20:47,48.1,119,2
14.11.2020 15:20:48,24.4,125,2
14.11.2020 15:20:49,24.4,119,2
14.11.2020 15:20:50,24.4,119,2
14.11.2020 15:20:51,24.4,114,2
14.11.2020 15:20:52,24.4,113,2
14.11.2020 15:20:53,24.5,119,2
14.11.2020 15:20:54,24.5,119,2
14.11.2020 15:20:55,24.5,113,2
14.11.2020 15:20:56,24.5,114,2
14.11.2020 15:20:57,24.6,111,2
14.11.2020 15:20:58,24.6,109,2
14.11.2020 15:20:59,24.6,107,2
14.11.2020 15:21:00,24.6,119,2
14.11.2020 15:21:01,24.8,107,2
14.11.2020 15:21:02,25,128,2
14.11.2020 15:21:03,25.2,144,2
14.11.2020 15:21:04,25.3,142,2
14.11.2020 15:21:05,25.3,135,2
14.11.2020 15:21:06,48.1,119,2
14.11.2020 15:21:07,25.4,148,2
14.11.2020 15:21:08,25.5,119,2
14.11.2020 15:21:09,25.6,156,2
14.11.2020 15:21:10,25.6,144,2
14.11.2020 15:21:11,48.1,142,2
14.11.2020 15:21:12,25.7,148,2
14.11.2020 15:21:13,25.7,135,2
14.11.2020 15:21:14,25.7,137,2
14.11.2020 15:21:15,25.8,122,2
14.11.2020 15:21:16,25.7,112,2
14.11.2020 15:21:17,25.7,115,2
14.11.2020 15:21:18,25.9,128,2
14.11.2020 15:21:19,26.2,119,2
14.11.2020 15:21:20,26.2,147,2
14.11.2020 15:21:21,26.2,138,2
14.11.2020 15:21:22,26.1,133,2
14.11.2020 15:21:23,26.1,129,2
14.11.2020 15:21:24,26.1,128,2
14.11.2020 15:21:25,26,128,2
