time,temp,Relative_Humidity
11/14/20 15:21,21.8,48.1
11/14/20 15:22,21.7,48.3
11/14/20 15:23,21.6,48.4
11/14/20 15:24,21.6,48.7
11/14/20 15:25,21.6,48.9
11/14/20 15:26,21.6,48.9
11/14/20 15:27,21.6,48.9
11/14/20 15:28,21.7,49
11/14/20 15:29,21.9,49
11/14/20 15:30,22,48.6
11/14/20 15:31,22.2,48.3
11/14/20 15:32,22.3,48
11/14/20 15:33,22.3,48.3
11/14/20 15:34,22.4,48.4
11/14/20 15:35,22.4,48.4
11/14/20 15:36,22.5,48.4
11/14/20 15:37,22.6,48.1
11/14/20 15:38,22.7,48.1
11/14/20 15:39,22.8,47.9
11/14/20 15:40,23,47.6
11/14/20 15:41,23.2,47.3
11/14/20 15:42,23.3,47.1
11/14/20 15:43,23.4,46.9
11/14/20 15:44,23.4,46.9
11/14/20 15:45,23.6,46.8
11/14/20 15:46,23.7,46.5
11/14/20 15:47,23.8,46.4
11/14/20 15:48,23.9,46.2
11/14/20 15:49,24,46.1
11/14/20 15:50,24.1,46
11/14/20 15:51,24.2,45.9
11/14/20 15:52,24.3,45.7
11/14/20 15:53,24.3,45.7
11/14/20 15:54,24.3,45.8
11/14/20 15:55,24.4,45.7
11/14/20 15:56,24.4,45.6
11/14/20 15:57,24.4,45.6
11/14/20 15:58,24.4,45.5
11/14/20 15:59,24.4,45.5
11/14/20 16:00,24.4,45.5
11/14/20 16:01,24.3,45.6
11/14/20 16:02,24.2,45.7
11/14/20 16:03,24.2,45.7
11/14/20 16:04,24.1,45.7
11/14/20 16:05,24.1,45.8
11/14/20 16:06,24,46
11/14/20 16:07,23.9,46.3
11/14/20 16:08,23.9,46.3
11/14/20 16:09,24,46.3
11/14/20 16:10,24.1,46.4
11/14/20 16:11,24.2,46.3
11/14/20 16:12,24.2,46.3
11/14/20 16:13,24.3,46.1
11/14/20 16:14,24.3,46.1
11/14/20 16:15,24.4,45.9
11/14/20 16:16,24.5,45.8
11/14/20 16:17,24.6,45.8
11/14/20 16:18,24.7,45.7
11/14/20 16:19,24.8,45.5
11/14/20 16:20,25,45.2
